id,body_text_nostop
101,"['gare', 'aulnoye', 'aymeries', 'gare', 'mons']"
102,"['gare', 'courtraikortrijk', 'gare', 'lille', 'flandres']"
103,"['gare', 'maubeuge', 'gare', 'namur']"
104,"['gare', 'lille', 'flandres', 'gare', 'tournai']"
105,"['gare', 'brivelagaillarde', 'gare', 'ussel']"
106,"['gare', 'dijonville', 'gare', 'nevers']"
107,"['gare', 'creusot', 'gare', 'montchanin']"
108,"['gare', 'niceville', 'gare', 'tende']"
109,"['gare', 'breilsurroya', 'gare', 'niceville']"
110,"['gare', 'annemasse', 'gare', 'coppet']"
111,"['gare', 'decize', 'gare', 'nevers']"
112,"['gare', 'annemasse', 'gare', 'genève']"
113,"['gare', 'coppet', 'gare', 'evianlesbains']"
114,"['gare', 'coppet', 'gare', 'thononlesbains']"
115,"['gare', 'annemasse', 'gare', 'thononlesbains']"
116,"['gare', 'annecy', 'gare', 'genève']"
117,"['gare', 'annecy', 'gare', 'coppet']"
118,"['gare', 'coppet', 'gare', 'rochesurforon']"
119,"['gare', 'coppet', 'gare', 'stgervaislblefayet']"
120,"['gare', 'cluses', 'htesavoie', 'gare', 'coppet']"
121,"['gare', 'forbach', 'gare', 'metzville']"
122,"['gare', 'bening', 'gare', 'metzville']"
123,"['bitche', 'gare', 'haguenau']"
124,"['bitche', 'gare', 'niederbronn']"
125,"['bitchecamp', 'gare', 'niederbronn']"
126,"['gare', 'haguenau', 'gare', 'niederbronn']"
127,"['bitchecamp', 'gare', 'haguenau']"
128,"['gare', 'haguenau', 'gare', 'strasbourg']"
129,"['gare', 'haguenau', 'gare', 'wissembourg']"
130,"['bouxwillerschattenmann', 'haguenaumoulinneuf']"
131,"['gare', 'saverne', 'niedermodernuberach']"
132,"['gare', 'ingwiller', 'haguenaumoulinneuf']"
133,"['dossenheimmairie', 'haguenaumoulinneuf']"
134,"['gare', 'obermodern', 'savernehtbarr']"
135,"['gare', 'ingwiller', 'savernehtbarr']"
136,"['gare', 'saverne', 'haguenaumoulinneuf']"
137,"['bouxwillerbabenhausen', 'dossenheimmairie']"
138,"['bouxwillerschattenmann', 'niedermodernuberach']"
139,"['bouxwillerschattenmann', 'gare', 'obermodern']"
140,"['gare', 'obermodern', 'haguenaumoulinneuf']"
141,"['gare', 'obermodern', 'gare', 'saverne']"
142,"['gare', 'obermodern', 'niedermodernuberach']"
143,"['bouxwillerbabenhausen', 'niedermodernuberach']"
144,"['dossenheimmairie', 'gare', 'obermodern']"
145,"['gare', 'saverne', 'neuwillerrbouxwiller']"
146,"['gare', 'obermodern', 'pfaffenhoffenmairie']"
147,"['gare', 'saverne', 'pfaffenhoffenmairie']"
148,"['gare', 'strasbourg', 'gare', 'sélestat']"
149,"['gare', 'benfeld', 'gare', 'strasbourg']"
150,"['gare', 'colmar', 'gare', 'raedersheim']"
151,"['buswillereglise', 'gare', 'mommenheim']"
152,"['ettendorfpldelecol', 'gare', 'mommenheim']"
153,"['ettendorfanglepont', 'gare', 'mommenheim']"
154,"['bouxwillerbabenhausen', 'gare', 'mommenheim']"
155,"['gare', 'diemeringen', 'gare', 'sarreguemines']"
156,"['gare', 'sarreguemines', 'gare', 'strasbourg']"
157,"['gare', 'diemeringen', 'gare', 'strasbourg']"
158,"['gare', 'strasbourg', 'gare', 'wingensurmoder']"
159,"['gare', 'ingwiller', 'reipertswillersp']"
160,"['gare', 'ingwiller', 'lichtenbergeglise']"
161,"['gare', 'saverne', 'gare', 'strasbourg']"
162,"['gare', 'lutzelbourg', 'gare', 'saverne']"
163,"['gare', 'kruth', 'thann', 'arrêt', 'poste']"
164,"['gare', 'kruth', 'gare', 'mulhouse']"
165,"['gare', 'kruth', 'gare', 'thann']"
166,"['gare', 'kruth', 'gare', 'wesserling']"
167,"['gare', 'colmar', 'gare', 'metzeral']"
168,"['gare', 'cernay', 'hautrhin', 'seweneglise']"
169,"['cernaylycée', 'seweneglise']"
170,"['gare', 'baselsbb', 'gare', 'mulhouse']"
171,"['gare', 'ingwiller', 'savernelycéeverne']"
172,"['frohmuhl', 'lavoir', 'savernehtbarr']"
173,"['frohmuhl', 'lavoir', 'gare', 'saverne']"
174,"['frohmuhl', 'lavoir', 'savernelycéeverne']"
175,"['gare', 'saverne', 'hattmattspolyvalente']"
176,"['hattmattspolyvalente', 'savernepldragons']"
177,"['hattmattspolyvalente', 'savernelycéeverne']"
178,"['hattmattspolyvalente', 'savernehtbarr']"
179,"['gare', 'herrlisheim', 'basrhin', 'gare', 'strasbourg']"
180,"['gare', 'lauterbourg', 'gare', 'roeschwoog']"
181,"['gare', 'entzheimaéroport', 'gare', 'strasbourg']"
182,"['gare', 'barr', 'gare', 'molsheim']"
183,"['gare', 'molsheim', 'gare', 'strasbourg']"
184,"['gare', 'barr', 'gare', 'strasbourg']"
185,"['gare', 'molsheim', 'gare', 'sélestat']"
186,"['gare', 'rothau', 'gare', 'strasbourg']"
187,"['gare', 'saales', 'gare', 'strasbourg']"
188,"['gare', 'altkirch', 'gare', 'mulhouse']"
189,"['gare', 'belfortville', 'gare', 'mulhouse']"
190,"['gare', 'belfortville', 'gare', 'montreuxvieux']"
191,"['gare', 'sélestat', 'ribeauvillegareroutiè']"
192,"['gare', 'sélestat', 'riquewihrposte']"
193,"['gare', 'sélestat', 'stemarieminesmaire']"
194,"['gare', 'stdiédesvosges', 'gare', 'sélestat']"
195,"['gare', 'sélestat', 'stemariemsthéâtre']"
196,"['stecroixminessqdeg', 'sèlestatschwilgué']"
197,"['gare', 'sélestat', 'stemariemsplcdg']"
198,"['stemarieminesmaire', 'sèlestatschwilgué']"
199,"['liepvrerguth', 'sèlestatschwilgué']"
200,"['stemariemsplcdg', 'sélestatschweisguth']"
201,"['gare', 'sélestat', 'lièpvrertevancelle']"
202,"['gare', 'montluçonville', 'gare', 'vierzon']"
203,"['laqueuille', 'lemontdoregare']"
204,"['gare', 'clermontferrand', 'gare', 'gannat']"
205,"['gare', 'gannat', 'gare', 'riomchâtelguyon']"
206,"['gare', 'aurillac', 'gare', 'stdenisprèsmartel']"
207,"['gare', 'aurillac', 'gare', 'capdenac']"
208,"['gare', 'montluçonville', 'gare', 'vichy']"
209,"['gare', 'clermontferrand', 'lemontdoregare']"
210,"['gare', 'clermontferrand', 'saintetiennechtx', 'gr']"
211,"['gare', 'thiers', 'saintetiennechtx', 'gr']"
212,"['gare', 'clermontferrand', 'gare', 'puyenvelay']"
213,"['gare', 'clermontferrand', 'gare', 'montluçonville']"
214,"['gare', 'montluçonville', 'gare', 'riomchâtelguyon']"
215,"['gare', 'arvant', 'gare', 'aurillac']"
216,"['gare', 'moulinssurallier', 'gare', 'vichy']"
217,"['gare', 'clermontferrand', 'gare', 'thiers']"
218,"['gare', 'clermontferrand', 'gare', 'volvic']"
219,"['ancizesstgeorgesbour', 'gare', 'volvic']"
220,"['gare', 'montluçonville', 'urcayhoteldulyondo']"
221,"['gare', 'montluçonville', 'gare', 'stamandmontrondorval']"
222,"['gare', 'thiers', 'gare', 'vertaizon']"
223,"['gare', 'montluçonville', 'steloy']"
224,"['gare', 'lapeyrousepuydedôme', 'steloylesmineslycée']"
225,"['ancizesstgeorgesbour', 'gare', 'clermontferrand']"
226,"['gare', 'clermontferrand', 'stgervaismairie']"
227,"['gare', 'clermontferrand', 'mont', 'dore', 'ski']"
228,"['gare', 'clermontferrand', 'gare', 'vertaizon']"
229,"['gare', 'volvic', 'steloy']"
230,"['gare', 'arvant', 'stflourlesallées']"
231,"['gare', 'massiacblesle', 'stflourlesallées']"
232,"['gare', 'arvant', 'gare', 'stchélydapcher']"
233,"['gare', 'clermontferrand', 'mauriaclycéecortat']"
234,"['gare', 'lapeyrousepuydedôme', 'steloy']"
235,"['gare', 'clermontferrand', 'mauriac']"
236,"['gare', 'riomchâtelguyon', 'stgervaischlpa']"
237,"['gare', 'montluçonville', 'stgervaischlpa']"
238,"['gare', 'neussargues', 'riomesmlaposte']"
239,"['gare', 'clermontferrand', 'stflourlesallées']"
240,"['gare', 'neussargues', 'gare', 'stchélydapcher']"
241,"['gare', 'neussargues', 'gare', 'stflourchaudesaigues']"
242,"['gare', 'stchélydapcher', 'stflourlesallées']"
243,"['gare', 'massiacblesle', 'gare', 'stchélydapcher']"
244,"['gare', 'volvic', 'pontgibaudville']"
245,"['brioudelycéelafayette', 'gare', 'brioude']"
246,"['gare', 'langeac', 'gare', 'stgeorgesdaurac']"
247,"['gare', 'langeac', 'stgeorgedauracbourg']"
248,"['gare', 'brioude', 'gare', 'langeac']"
249,"['gare', 'brioude', 'gare', 'puyenvelay']"
